,title,location,address,phone,website,hours,price,description,source
0,Cafe Mojo,Panaji,Menezes Braganza Rd,0832-2431973,www.cafemojo.in,"10am-5am Mon-Thu, to 6am Fri-Sun",,"The decor is a dark cosy English pub, the clientele young and up for a late party, and the novelty is the e-beer system. Each table has its own beer tap and LCD screen: you buy a card (₹500), swipe it at your table and start pouring – it automatically deducts what you drink (use the card for spirits, cocktails and food, too).
Depending on the night there might be live music or DJs and there's a new dance space upstairs.",https://www.lonelyplanet.com/india/goa/panaji-panjim/nightlife/cafe-mojo/a/poi-dri/1335497/356231
1,Keventers,Calangute & Baga,Tito's Lane. Baga,,,11am-3am,milkshakes ₹80-230,"Had enough of the Kingfisher? Keventers, the famous Delhi milkshake maker, has set up in Goa and on Tito's Lane no less. The hole-in-wall joint serves up classic milkshakes in its signature glass bottles, or sample the more exotic Oreo, bubblegum or salted caramel. It's the perfect antidote to a big night out.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/nightlife/keventers/a/poi-dri/1613279/1329280
2,Soro,North Goa,Siolim Rd. Badem junction,9881934440,,6pm-2am,,"The 'village pub' is a welcome addition to the back lanes of sleepy Assagao, with pumping live music on weekends, salsa dancing on Sunday and a fun atmosphere whenever there's a crowd. Decor is part English pub, part American bar, with exposed brick walls, barrel tables and a pool table. There's bar food but this is more for drinking and dancing.",https://www.lonelyplanet.com/india/goa/assagao-1341403/nightlife/soro/a/poi-dri/1613281/1341403
3,Leopard Valley,Palolem,Palolem-Agonda Rd,,www.facebook.com/leopardvalley,9pm-4am Fri,entry from ₹600,"South Goa’s biggest outdoor dance club is a sight (and sound) to behold, with 3D laser light shows, pyrotechnics and state-of-the-art sound systems blasting local and international DJs on Friday nights. It’s in an isolated but easily reached (by taxi) location between Palolem and Agonda. Check the Facebook page to see what's on.",https://www.lonelyplanet.com/india/goa/palolem-and-around/nightlife/leopard-valley/a/poi-dri/1505404/1001559
4,Hilltop,North Goa,,,www.hilltopgoa.in,sunset-3am,,"Hilltop is a long-serving Vagator trance and party venue that’s deserted by day but comes alive from sunset. Its edge-of-town, neon-lit coconut grove location allows it, on occasion, to bypass noise regulations to host indoor and outdoor concerts, parties and international DJs. Sunday sessions (5pm to 10pm) are legendary.",https://www.lonelyplanet.com/india/goa/vagator-chapora/nightlife/hilltop/a/poi-dri/1181711/1329281
5,Nine Bar,North Goa,,,,5pm-4am,,"Once the hallowed epicentre of Goa’s trance scene, the open-air Nine Bar terrace, on the clifftop overlooking Little Vagator Beach, is fading but stills pumps out beats in its soundproof indoor space. It generally doesn't start until December; look out for flyers and local advice to see when the big party nights are on.",https://www.lonelyplanet.com/india/goa/vagator-chapora/nightlife/nine-bar/a/poi-dri/1116776/1329281
6,Soho,Panaji,MG Rd,7702897753,,"7pm-1am, to 3am Fri-Sun",,"Take the side entrance (behind the music shop) and climb the stairs to the top floor for this sophisticated little bar and music venue where, let's face it, the beautiful people hang out. With its icy air-con, backlit bar, balcony overlooking the Ourem River and party nights, it's part of the new wave of Panaji bars.",https://www.lonelyplanet.com/india/goa/panaji-panjim/nightlife/soho/a/poi-dri/1611606/356231
7,Leda Lounge & Restaurant,South Goa,,,,noon-3pm & 7-11pm,,"Part sports bar, part music venue, part cocktail bar, Leda is Colva’s best nightspot, though it operates as much as a restaurant, and even the bar closes in the afternoon. There’s live music from Thursday to Sunday, fancy drinks (mojitos, Long Island iced teas) and good food at lunch and dinner.",https://www.lonelyplanet.com/india/goa/colva-and-benaulim/nightlife/leda-lounge-restaurant/a/poi-dri/1291648/1315141
8,Curlies,Anjuna,,,www.curliesgoa.com,9am-3am,,"Holding sway at South Anjuna Beach, Curlies mixes laid-back beach-bar vibe with sophisticated nightspot – the party nights here are notorious, legendary and loud. There’s a rooftop lounge bar and an enclosed late-night dance club. Thursday and Saturday are big nights, as are full-moon nights.",https://www.lonelyplanet.com/india/goa/anjuna/nightlife/curlies/a/poi-dri/1150106/356225
9,Waters Beach Lounge,North Goa,Ozran Beach. Vagator,9767200012,,noon-4am,,"Terracing down the hillside on the Vagator cliffs, this restaurant, bar and club is known for its loud party nights, with open-air dance floors overlooking the Arabian Sea and a soundproof room for late at night – as late as 5am. Top DJs come to play.",https://www.lonelyplanet.com/india/goa/vagator-chapora/nightlife/waters-beach-lounge/a/poi-dri/1558817/1329281
