restaurant_name,cuisines,ratings,address,timings,phone,must_haves,price,more_info,description,rating_count
Purple Martini,"Continental, Goan, Fast Food, Chinese, North Indian, Beverages, Ice Cream",4.4,"Anjuna Beach, Anjuna, Goa",11am – 12midnight (Today),+918793242210,"Mexican Platter, Greek Style Pizza, Tortilla Wrap, Prawn Satay, Chicken Kung Pao, Purple Martini","₹3,000 for two people (approx.) with alcohol","Takeaway Available
Full Bar Available
Family Friendly
Luxury Dining
Wifi
Desserts and Bakes
DJ
Live Entertainment
Outdoor Seating
Indoor Seating
Rooftop
Seaview
Smoking Area
Celebrity Frequented
Live Sports Screening
Seaside
Live Music
Romantic Dining
Serves Cocktails
Table reservation required","Very Friendly Service, Awesome Place to Hangout, Loved the View, Location and New Concept, Good Services with Good People, Amazing View at Sunset",14.7K
Mamalouka - Beach Bar And Bistro,"Goan, Pizza, Italian, Bar Food, Desserts",4.2,"Anjuna, Goa",1pm – 12midnight (Today),+919582769382,"₹1,200 for two people (approx.) with alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",416
Tomato's Beachside Kitchen And Bar,"Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages",4.6,"Morjim, Goa",12noon – 12midnight (Today),+916360040852,"Chicken Pesto Pasta, Falafel Platter, Shrimp Salad, Fish and Chips, Virgin Colada, Thai Red Curry","₹1,800 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Family Friendly
Smoking Area
Outdoor Seating
Indoor Seating
Desserts and Bakes
Live Entertainment
Seaside
Live Music
Serves Cocktails
Table booking recommended","Kid Friendly, Good Bartenders, Live Sports Screening, Pocket Friendly Prices, Vintage Decor, Live Entertainment","1,397"
Titlie,"Continental, Seafood, North Indian, Pizza, Italian, Beverages",4.0,"Vagator, Goa",1pm – 12midnight (Today),022 68493212,"Kulcha, Sundowner, Pita Bread, Hummus, Cocktail, Dessert","₹2,000 for two people (approx.) Without alcohol","Takeaway Available
Full Bar Available
Outdoor Seating
Live Music
Live Entertainment
Family Friendly
Seaside
Seaview
Smoking Area
Indoor Seating
DJ
Karaoke
Wifi
Romantic Dining","Portion Size was Good, Amazing Food and Experience, Location of the Restaurant, Music and Ambience, Weekend Brunch, Sunset View",610
Thalassa,"Greek, Mediterranean, Seafood, Fast Food, Bar Food, Goan, Beverages",4.4,"Siolim, Goa",9am – 1am (Today),+919850033537,A Greek Taverna Overlooking The Arabian Sea.,"Seating with a View, Excellent Waterfront View, Instagramable, Ambience was Lovely, Dj Music, Magnificent View","Breakfast
Home Delivery
Takeaway Available
Full Bar Available
DJ
Karaoke
Live Music
Seaview
Celebrity Frequented
Live Entertainment
Outdoor Seating
Indoor Seating
Table booking recommended
Wifi","Chocolate Baklava, Authentic Greek Food, Chicken Gyro, Chicken Casserole, Mushroom Saganaki, Roast Lamb","4,382"
The Fisherman's Wharf,"Seafood, Goan, North Indian, Mughlai, Chinese, Continental, Desserts",4.5,"Calangute, Goa",12noon – 11:45pm (Today),+919604098888,"Surmai Tava Fry, Masala Prawn, Mutton Xacuti, Stuffed Crab, Pork Sorpotel, Goan Spices","₹1,300 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Outdoor Seating
Desserts and Bakes
Indoor Seating
DJ","Staff Behavior, Excellent Food and Service, More Variety, Themed Decor, Good Quality Food, Family Place","1,679"
Tomato's Garden Kitchen And Bar,"Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages",4.4,"Candolim, Goa",12noon – 1am (Today),+919990583861,"Momos, Cheesecake, Butter Chicken, Dessert, Cocktails, Starters","₹2,000 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Outdoor Seating
Live Music
Kid Friendly
Wifi
High Chair Available
Smoking Area
Indoor Seating
Serves Cocktails
Live Entertainment
Family Friendly","Great Service Good Food, Hukkah Service, Location of the Restaurant, Excellent Food and Service, Ambience was Super Cool, Weekend Brunch","1,159"
Romeo Lane,"Finger Food, Italian, Lebanese, North Indian",3.9,"Vagator, Goa",1pm – 3am (Today),+917974436003,"Dj, View, Fresh Food, Good Quality","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Family Friendly
DJ
Live Entertainment
Outdoor Seating
Indoor Seating
Karaoke
Live Music","₹1,800 for two people (approx.) Without alcohol",392
Eva Cafe,"Sandwich, Fast Food",4.3,"Anjuna, Goa",9am – 8pm (Today),+917350055717,"Shakshouka, Strawberry Mojito, Smoothies, Pancake, Juices, Sandwiches",₹950 for two people (approx.),"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Quiet, Spectacular View, Wonderful View, Beautiful Cafe, Healthy Food, Seaview",620
Ivoryy By The Cliff,"Mediterranean, Italian, Asian, Chinese, Goan, Lebanese, Desserts",3.9,"Vagator, Goa",1pm – 1am (Today),+917030141000,"₹1,500 for two people (approx.)",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",52
