,title,location,address,phone,website,price,description,source
0,Panjim Inn,Panaji,31st January Rd,0832-2226523,www.panjiminn.com,"s/d from ₹5900/6500, superior ₹8200/8700","One of the original heritage hotels in Fontainhas, the Panjim Inn has been a long-standing favourite for its character and charm. Run by the lovely Sukhija family and overseen by helpful staff, this beautiful 19th-century mansion has 12 charismatic rooms in the original house, along with newer rooms with modern touches to complement four-poster beds, colonial-era furniture and artworks.
Head up to the small rooftop for views over Fontainhas and a dip in the jacuzzi. Buffet breakfast is included, and the Verandah restaurant is a popular spot serving excellent Goan food and cold beer. Panjim Inn is the original of a trio of heritage hotels, including Panjim Peoples and Panjim Pousada.
If you're interested in a farmstay retreat, ask here about Cajueiro Homestead in the east of the state.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/panjim-inn/a/poi-sle/1024781/356231
1,Panjim Peoples,Panaji,31st January Rd,0832-2435628,www.panjiminn.com,d ₹8900,"The Panjim Peoples is an atmospheric and beautifully restored heritage hotel with just four enormous upstairs rooms in what was formerly the Peoples High School. There are mosaic-covered bathrooms, deep bath tubs, antique furnishings and nautical ship lights.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/panjim-peoples/a/poi-sle/1024772/356231
2,Ciarans,Palolem,,0832-2643477,www.ciarans.com,"huts incl breakfast ₹4200-6300, r with AC ₹5500","Ciarans has some of the most impressive huts on the beachfront. Affable owner John has worked hard over two decades to maintain a high standard and his beautifully designed cottages around a plant-filled garden are top-notch. There’s a popular multicuisine restaurant with nightly live music, tapas restaurant and quality massage and spa centre.
Eco-credentials are also good here. Ciarans has a sewerage treatment plant, solar hot water and solar lighting. Ciarans also has fine hut resorts at Talpona and Galgibag beaches.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/ciarans/a/poi-sle/1291768/1001559
3,Wanderers Hostel,North Goa,Morjim Beach Rd,9619235302,www.wanderershostel.com,"dm with fan/AC ₹400/500, shared tents ₹300, luxury tents d ₹1500","About five minutes’ walk back from Morjim Beach, Wanderers is a real find for budget travellers. The main building, decorated with original travellers' murals, has spotless dorms with lockers, bed lights and wi-fi, full kitchen, cosy communal areas and a pool table. In the garden next door is a tent village with swimming pool, yoga retreat centre and outdoor cinema.
It’s an interesting mix of yoga-meets-party atmosphere, and with an enthusiastic young owner, it’s hard to think of a downside to this place. Morjim’s only ATM is across the road.",https://www.lonelyplanet.com/india/goa/morjim/hotels/wanderers-hostel/a/poi-sle/1506289/1301994
4,Siolim House,North Goa,,9822584560,www.siolimhouse.com,ste €135-175,"Comprising the seven-suite Siolim House hotel and the three-bedroom Little Siolim, Siolim House is one of North Goa’s boutique treats. Situated in an old palácio (palace) that was once home to the Governor of Macau, the hotel is elegant and carefully restored and, though it has a lovely pool and air-con, is devoid of many modern trappings such as TV.
The rooms are all unique, some with grand four-poster beds and enormous stepped, throne-like bathrooms. Discounts for stays of three or five nights.",https://www.lonelyplanet.com/india/goa/siolim/hotels/siolim-house/a/poi-sle/1024771/1301993
5,Marbella Guest House,North Goa,Sinquerim,0832-2479551,www.marbellagoa.com,"r ₹4200-4900, ste ₹6100-7800","This beautiful Portuguese villa, filled with antiques and enveloped in a peaceful courtyard garden, is a romantic and sophisticated old-world remnant. Rooms are individually themed, including Moghul, Rajasthani and Bougainvillea. The penthouse suite is a dream of polished tiles, four-poster bed with separate living room, dining room and terrace. The kitchen serves up some imaginative dishes. No kids under 12.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/marbella-guest-house/a/poi-sle/1024801/1329279
6,Jungle Hostel,North Goa,Vagator Beach Rd. Vagator,0832-2273006,www.thehostelcrowd.com,"dm with/without AC ₹650/550, s/d from ₹1100/1800","One of the original backpacker hostels in North Goa, Jungle brought the dorm experience and an international vibe to Vagator and has expanded to three properties. It's still among the best around and offers cheap transfers to its other properties in Panaji and Palolem. There are clean and bright four- to six-bed dorms and private rooms. Lockers, wi-fi, breakfast and communal kitchen.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/jungle-hostel/a/poi-sle/1337827/1329281
7,Mandala,North Goa,,9158266093,www.themandalagoa.com,r & huts ₹1600-7000,"Mandala is a very peaceful and beautifully designed eco-village with a range of huts and a couple of quirky air-con rooms in the ‘Art House'. Pride of place goes to the barn-sized two-storey villas inspired by the design of a Keralan houseboat. The location, overlooking the tidal lagoon, is serene, with a large garden, daily yoga sessions, an organic restaurant and juice bar.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/mandala/a/poi-sle/1506291/1301996
8,Dunes Holiday Village,North Goa,,0832-2247219,www.dunesgoa.com,"huts ₹1500-1750, d with AC ₹2200","The pretty huts here are peppered around a palm-filled lane leading to the beach; at night, lamps light up the place like a palm-tree dreamland. Huts range from basic to more sturdy ‘tree houses’ (huts on stilts) and there are some guesthouse rooms with air-con. It’s a friendly, good-value place with a decent beach restaurant, yoga classes and a marked absence of trance.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/dunes-holiday-village/a/poi-sle/1291463/1301996
9,Bougainvillea Guest House,North Goa,Sinquerim,9822151969,www.bougainvilleagoa.com,"r incl breakfast ₹4200-5400, penthouse ₹7800","A lush, plant-filled garden leads the way to this gorgeous family-run guesthouse, located off Fort Aguada Rd. The eight light-filled suite rooms are spacious and spotless, with fridge, flat-screen TV and either balcony or private sit-out; the top-floor penthouse has its own rooftop terrace. This is the kind of place guests come back to year after year. Book ahead.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/bougainvillea-guest-house/a/poi-sle/1352123/1329279
10,Indian Kitchen,Calangute & Baga,off Calangute-Baga Rd. Baga,0832-2277555,www.indiankitchen-goa.com,"s/d from ₹770/880, AC chalet/apt ₹2100/3500","Don't be fooled by the name – there's no longer a restaurant here but there is a great little budget guesthouse. Family-run Indian Kitchen has a range of rooms from basic to more spacious, comfy apartments and wooden chalets by the pool. There’s a neat central courtyard and well-stocked library. Each room has its own terrace.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/indian-kitchen/a/poi-sle/1116798/1329280
11,Alidia Beach Cottages,Calangute & Baga,Calangute-Baga Rd. Saunta Waddo,9822876867,,"d ₹2400, with AC from ₹3900","Set back behind a whitewashed chapel off busy Baga Rd, this convivial but quiet place has beautifully kept Mediterranean-style rooms orbiting a gorgeous pool. The cheaper non-AC rooms at the back are not as good, but all are in good condition, staff are eager to please, and there’s a path leading directly to Baga Beach.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/alidia-beach-cottages/a/poi-sle/1024773/1329280
12,Cozy Nook,Palolem,,9822584760,www.cozynookgoa.com,huts ₹2500-4000,"At the northern end of the beach, long-running Cozy Nook is one of Palolem's originals and still builds well-designed cottages including two-storey bamboo pads with Rajasthani touches, chill-out decks, more pedestrian rooms and a bar and restaurant, all among the coconut palms. Yoga and kayak rental available.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/cozy-nook/a/poi-sle/1508024/1001559
13,Old Quarter Hostel,Panaji,5/146 31st January Rd,7410069108,www.thehostelcrowd.com,"dm ₹600-650, s/d with AC from ₹1100/1700","In an old Portuguese house in historic Fontainhas, this flamboyant hostel is a beacon for budget travellers to Panaji. Slick four-bed dorms with lockers as well as private doubles in a separate building, along with the excellent Bombay Roasters Cafe, arty murals, good wi-fi and bikes for hire. Noon checkout.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/old-quarter-hostel/a/poi-sle/1505930/356231
14,Blue Lagoon Resort,South Goa,Cola Beach,9673277756,www.bluelagooncola.com,cottages ₹3800-5400,"These sweet timber cottages dominate central Cola Beach, overlooking either the beach or the lagoon, and are the first place you’ll find on the walk down from the car park. The highest price are those with uninterrupted sea views. The restaurant is popular with guests and day-trippers.",https://www.lonelyplanet.com/india/goa/cola-beach/hotels/blue-lagoon-resort/a/poi-sle/1507024/1340169
15,Skylark Resort,South Goa,,0832-2788052,www.skylarkresortgoa.com,"d with AC ₹3350-4500, f ₹5000","A serious step up from the budget places, Skylark’s clean, fresh rooms are graced with bits and pieces of locally made teak furniture and block-print bedspreads, while the lovely pool makes a pleasant place to lounge. The best (and more expensive) rooms are those facing the pool.",https://www.lonelyplanet.com/india/goa/colva-and-benaulim/hotels/skylark-resort/a/poi-sle/1291585/1315141
16,Blue Corner,South Goa,,9850455770,www.bluecornergoa.com,huts ₹1300,"It's rare to find good old-fashioned palm-thatch cocohuts on this stretch of beachfront but the 11 sturdy thatched huts at Blue Corner are the best in Benaulim. Each one has a veranda, fan and wi-fi. The beachfront restaurant at the front gets rave reviews from guests.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/blue-corner/a/poi-sle/1116888/1315142
17,Agonda White Sand,South Goa,Agonda Beach,9823548277,www.agondawhitesand.com,huts ₹4600-5200,Beautifully designed and constructed cottages with open-air bathrooms and spring mattresses surround a central bar and beachfront restaurant. Some have air-con.,https://www.lonelyplanet.com/india/goa/agonda/hotels/agonda-white-sand/a/poi-sle/1338991/1302133
18,Happy Panda,Arambol (Harmal),,9619741681,www.happypanda.in,"dm ₹500-650, tent from ₹400","Traveller-painted murals cover the walls in this very chilled backpacker place near the main village. Young owners have worked hard making the dorms, neon common area, bar and garden a well-equipped and welcoming budget place to crash. Artists, cooks and other skilled travellers are encouraged to lend a hand. Bikes for hire and tent accommodation available.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/happy-panda/a/poi-sle/1552762/356226
19,Dreams Hostel,North Goa,off Vagator Beach Rd. Vagator,9920651760,www.dreams-hostel.goa-india-hotels-resorts.com,"dm ₹400-550, AC cabins ₹2400","With a philosophy of 'art, music, wellness', former backpacker and local DJ Ravi has established a great little creative space for like-minded travellers with a spacious garden, clean dorms, deluxe timber cabins and chilled common areas. The hostel also acts as an artistic residency – the murals and artworks are all done by guests.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/dreams-hostel/a/poi-sle/1552767/1329281
20,Yoga Magic,Anjuna,Mapusa-Chapora Rd,0832-6523796,www.yogamagic.net,"share/single ₹7700/11,600","Solar lighting, compost toilets and local building materials (including cow dung and rammed earth) are some of the worthy initiatives practised in this ultra-luxurious village of Rajasthani tented lodges and bamboo-villa suites. Offers organic gourmet vegetarian food and daily yoga and meditation. Seven-day packages include yoga classes and meals.
Prices include breakfast and afternoon tea; daily yoga classes cost extra, or you can opt for one of the all-inclusive week-long yoga holidays. It’s about 2km from Vagator Beach.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/yoga-magic/a/poi-sle/1291349/356225
21,Elsewhere,North Goa,,,www.aseascape.com,"tents ₹8500, beach houses ₹15,600-28,200","The exact location of this heavenly place, on some 500m of beachfront, is a closely guarded secret. Choose from four beautiful beachfront houses, intriguingly named the Piggery, Bakery, Priest’s House and Captain’s House, or from three luxury tents, and revel in the solitude that comes with a hefty price tag and a 60m walk across a bamboo bridge.
Meals and car and driver available. Minimum one-week stay. Book ahead.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/elsewhere/a/poi-sle/1116968/1301996
22,Aashyana Lakhanpal,North Goa,Fort Aguada Rd,0832-2489225,www.aashyanalakhanpal.com,"villas 4 nights from ₹84,000","A five-bedroom villa filled with art, another three-bedroom villa, three two-bedroom casinhas (little houses) and other cottages, set amid 1.6 hectares of lush, landscaped grounds spilling down to the beach, make Aashyana one of Candolim’s – if not Goa’s – most exclusive retreats. This is high-society luxe at its best and it puts the nearby Taj hotels in the shade for both style and price.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/aashyana-lakhanpal/a/poi-sle/1181587/1329279
23,Cape Goa,South Goa,,9075843958,www.thecapegoa.com,"r incl breakfast ₹25,300-33,500",Romantic getaways might not come any better than this. With just nine gorgeous thatched cottages – all sea-facing and with jacuzzi on the personal outdoor deck – there's enough privacy and a spectacular clifftop location gazing out over the Arabian Sea to make you forget the outside world. Secluded beach? Check. Sunset cocktails? Check. There's also a top-quality restaurant and bar.,https://www.lonelyplanet.com/india/goa/cabo-da-rama/hotels/cape-goa/a/poi-sle/1613175/1337588
