,name,price,couple-friendly,location,description
0,Hyatt Centric Candolim Goa,"₹ 8,730",YES,Candolim | 7-8 minutes walk from Candolim Beach,"This 5 Star Hotel in Goa is located in Candolim. Full Address of property is Anna Waddo, Main Candolim Road, Candolim, Goa, 403515 View On Map This Hotel have 4.3 Out of 5 Rating where  5.0/5 for Security &  4.5/5 for Child friendliness &  4.5/5 for Cleanliness . Key amenities of this property are Indoor Games & Kids Play Area & Free Parking. "
1,The Yellow House Anjuna,"₹ 12,500",YES,Anjuna,"Location of the Hotel is Anjuna View On Map (House #1241, Gaonwadi, Anjuna North Goa - 403509). It’s a 5 Star Hotel with overall Rating 5.0 Out of 5 where . Top Facilities of this Hotel are Conference Room & Bakery & Bar. "
2,DoubleTree by Hilton Goa - Panaji,"₹ 30,499",YES,Panjim,"This 5 Star Resort in Goa is located in Panjim. Full Address of property is Near Mandovi river, Kadamba Plateau, Panjim Old Goa Bypass Road,  Panaji, 403006, India Survey no 34/1- B Chimbel, Tiswadi Goa View On Map This Resort have 4.4 Out of 5 Rating where  4.6/5 for Child friendliness &  4.5/5 for Cleanliness &  4.5/5 for Hospitality . Key amenities of this property are Kids Play Area & Outdoor Sports & Lawn. "
3,"O Hotel Goa, Candolim Beach","₹ 8,199",YES,Candolim | 2-3 minutes walk from Candolim Beach,"Location of the Resort is Candolim View On Map (S.No.114/1 Candolim, Dando, Bardez,Goa). It’s a 5 Star Resort with overall Rating 3.7 Out of 5 where  4.3/5 for Location &  4.0/5 for Hospitality &  3.9/5 for Cleanliness . Top Facilities of this Resort are Free Parking & Free Wi-Fi & Outdoor Sports. [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. "
4,Hilton Goa Resort,"₹ 15,000",YES,Candolim,"This 5 Star Resort in Goa is located in Candolim. Full Address of property is Pilerne Candolim Road, 
Saipem, Candolim, Goa View On Map This Resort have 4.1 Out of 5 Rating where  4.3/5 for Food &  4.2/5 for Cleanliness &  4.0/5 for Child friendliness . Key amenities of this property are Kids Play Area & Childcare Services & Outdoor Sports. "
5,Radisson Resort Goa Baga,"₹ 7,649",NO,Baga | 1.8 km from Baga Beach,"Location of the Resort is Baga View On Map (Survey No. 155/1-E, Baga Arpora Road, Arpora). It’s a 5 Star Resort with overall Rating 4.2 Out of 5 where  4.4/5 for Cleanliness &  4.2/5 for Food &  4.1/5 for Child friendliness . Top Facilities of this Resort are Free Parking & Bar & Elevator/Lift. "
6,The Zuri White Sands Goa Resort and Casino,"₹ 9,399",YES,Salcete | 2-3 minutes walk from Varca Beach,"This 5 Star Resort in Goa is located in Salcete. Full Address of property is 178/1 and 179/1 Pedda, Varca, Salcete, South Goa View On Map This Resort have 4.2 Out of 5 Rating where  4.5/5 for Location &  4.4/5 for Cleanliness &  4.3/5 for Room . Key amenities of this property are Free Parking & Free Wi-Fi & Outdoor Sports. "
7,Grand Hyatt Goa,"₹ 16,108",NO,North Goa | 4-5 minutes walk from Bambolim Beach,"Location of the Hotel is North Goa View On Map (P.O. Goa University
Bambolim, North Goa, Goa, India, ). It’s a 5 Star Hotel with overall Rating 4.5 Out of 5 where  4.7/5 for Amenities &  4.7/5 for Child friendliness &  4.7/5 for Cleanliness . Top Facilities of this Hotel are Lounge & Butler Services & Free Parking. "
8,Goa Marriott Resort & Spa,"₹ 17,000",YES,Panjim,"This 5 Star Hotel in Goa is located in Panjim. Full Address of property is Miramar Beach, PO Box No 64 View On Map This Hotel have 4.4 Out of 5 Rating where  5.0/5 for Security &  4.7/5 for Hospitality &  4.6/5 for Location . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Yoga & Lounge & Butler Services. "
9,"Holiday Inn Goa, Candolim","₹ 8,369",YES,Candolim | 7-8 minutes walk from Candolim Beach,"Location of the Hotel is Candolim View On Map (Survey No. 52/5 and 8, Candolim, Bardez, Goa). It’s a 5 Star Hotel with overall Rating 4.1 Out of 5 where  4.5/5 for Cleanliness &  4.4/5 for Location &  4.2/5 for Child friendliness . Top Facilities of this Hotel are EV Charging Station & Lounge & Tours and Treks. "
10,Royal Orchid Beach Resort & Spa,"₹ 11,694",YES,Utorda Beach | 4-5 minutes walk from Utorda Beach,"This 5 Star Resort in Goa is located in Utorda Beach. Full Address of property is Utorda Beach,Salcette,South Goa
 View On Map This Resort have 4.0 Out of 5 Rating where  4.4/5 for Location &  4.2/5 for Child friendliness &  4.1/5 for Hospitality . [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. Key amenities of this property are Free Parking & Lawn & Bar. "
11,"Le Meridien Goa, Calangute","₹ 9,999",YES,Calangute | 7-8 minutes walk from Calangute Beach,"Location of the Hotel is Calangute View On Map (218-B, Aguada - Siolim Rd, Gauravaddo, Aguada - Siolim Rd, Gauravaddo, Calangute, Goa 403515). It’s a 5 Star Hotel with overall Rating 4.3 Out of 5 where  4.5/5 for Child friendliness &  4.5/5 for Hospitality &  4.5/5 for Cleanliness . Top Facilities of this Hotel are EV Charging Station & Lounge & Tours and Treks. [Free airport/bus stand/railway station pick up & drop worth Rs.2,400]. "
12,DoubleTree by Hilton Hotel Goa-Arpora- Baga,"₹ 8,550",YES,Arpora,This 5 Star Hotel in Goa is located in Arpora. Full Address of property is Ximer Arpora Bardez View On Map This Hotel have 3.7 Out of 5 Rating where  4.2/5 for Hospitality &  4.0/5 for Location &  4.0/5 for Room . Key amenities of this property are Indoor Games & Kids Play Area & Free Parking.
13,Holiday Inn Resort,"₹ 9,450",NO,Cavelossim | 4-5 minutes walk from Mobor Beach,"Location of the Hotel is Cavelossim View On Map (Mobor, Cavelossim Goa ). It’s a 5 Star Hotel with overall Rating 4.5 Out of 5 where  4.7/5 for Child friendliness &  4.6/5 for Cleanliness &  4.5/5 for Location . Top Facilities of this Hotel are Private Beach & Lounge & Tours and Treks. "
14,Novotel Goa Dona Sylvia Resort,"₹ 8,500",YES,Cavelossim | 4-5 minutes walk from Cavelossim Beach,"This 5 Star Resort in Goa is located in Cavelossim. Full Address of property is Cavelossim Beach, View On Map This Resort have 4.4 Out of 5 Rating where  4.8/5 for Security &  4.6/5 for Location &  4.5/5 for Cleanliness . Key amenities of this property are Free Parking & Free Wi-Fi & Butler Services. "
