web-scraper-order,web-scraper-start-url,Name,Description,More,More-href
"1682543138-131","https://www.goa.gov.in/what_to_see/beaches/","Agonda Beach","It’s long and lonely, fringed with palms and casuarinas and dominated by a large hill to the south","Learn More","https://www.goa.gov.in/places/agonda-beach/"
"1682543138-132","https://www.goa.gov.in/what_to_see/beaches/","Aguada Beach","Aguada beach is almost synonymous with the top-notch Fort Aguada Hotel complex","Learn More","https://www.goa.gov.in/places/aguada-beach/"
"1682543138-133","https://www.goa.gov.in/what_to_see/beaches/","Anjuna Beach","It is located about 18kms from Panaji and is situated in Bardez taluka","Learn More","https://www.goa.gov.in/places/anjuna-beach/"
"1682543138-134","https://www.goa.gov.in/what_to_see/beaches/","Arambol (Harmal) Beach","The black rocks on the silvery beach make for some pretty dramatic scenery at sunset.","Learn More","https://www.goa.gov.in/places/arambol-harmal-beach/"
"1682543138-135","https://www.goa.gov.in/what_to_see/beaches/","Ashvem Beach","This beach offer delightful ocean vistas fringed by the green fronds of the sway coconut palms that pepper the shore.","Learn More","https://www.goa.gov.in/places/ashwem-beach/"
"1682543138-136","https://www.goa.gov.in/what_to_see/beaches/","Baga Beach","This is part of a 30 km stretch of beach coastline along the west coast of Goa","Learn More","https://www.goa.gov.in/places/baga-beach/"
"1682543138-137","https://www.goa.gov.in/what_to_see/beaches/","Bambolim Beach","Located in North Goa, this peaceful little beach is a haven for those who want to enjoy the sand and surf without the crowds that pepper most of the other beaches in North Goa","Learn More","https://www.goa.gov.in/places/bambolim-beach/"
"1682543138-138","https://www.goa.gov.in/what_to_see/beaches/","Betalbatim Beach","North of Colva is Betalbatim Beach which begins a long string of beaches with Majorda, Utorda, Arossim and Velsao at the north. It is a ten kilometre stretch of white sand which is not very crowded.","Learn More","https://www.goa.gov.in/places/betalbatim/"
"1682543138-139","https://www.goa.gov.in/what_to_see/beaches/","Betul Beach","Betul is one of the most important fishing ports where all the mechanized boats and deep sea trawlers bring in their catch","Learn More","https://www.goa.gov.in/places/betul-beach/"
"1682543138-140","https://www.goa.gov.in/what_to_see/beaches/","Benaulim Beach","Benaulim is one of the few places in Goa where one can glimpse handicrafts typical to this area","Learn More","https://www.goa.gov.in/places/benaulim-beach/"
"1682543138-141","https://www.goa.gov.in/what_to_see/beaches/","Bogmalo Beach","This beach dominated by a huge 5-star hotel located right on its edge and is cut apart from both the North and South beach circuit","Learn More","https://www.goa.gov.in/places/bogmalo-beach/"
"1682543138-142","https://www.goa.gov.in/what_to_see/beaches/","Calangute Beach","Calangute is the beach to which everyone heads for the moment they land in Goa","Learn More","https://www.goa.gov.in/places/calangute-beach/"
"1682543138-143","https://www.goa.gov.in/what_to_see/beaches/","Candolim Beach","Candolim is the first beach that can be approached from the city of Panaji","Learn More","https://www.goa.gov.in/places/candolim-beach/"
"1682543138-144","https://www.goa.gov.in/what_to_see/beaches/","Cavelossim Beach","The extremely beautiful Cavelossim beach is situated between the Arabian Sea on one hand and the Sal River on the other.","Learn More","https://www.goa.gov.in/places/cavelossim-beach/"
"1682543138-145","https://www.goa.gov.in/what_to_see/beaches/","Colva Beach","This is the most important beach in the south circuit equipped with all modern amenities like air-conditioned resort complexes","Learn More","https://www.goa.gov.in/places/colva-beach/"
"1682543138-146","https://www.goa.gov.in/what_to_see/beaches/","Galgibaga/Turtle Beach","The beach itself is a pristine stretch of golden brown sand, fringed with coconut palms and other trees.","Learn More","https://www.goa.gov.in/places/galgibaga-turtle-beach/"
"1682543138-147","https://www.goa.gov.in/what_to_see/beaches/","Majorda Beach","This small stretch beach stretches about 5 Kms north of Colva Beach along the coastline","Learn More","https://www.goa.gov.in/places/majorda-beach/"
"1682543138-148","https://www.goa.gov.in/what_to_see/beaches/","Miramar Beach","This beautiful beach is located about 3kms from Panaji","Learn More","https://www.goa.gov.in/places/miramar-beach/"
"1682543138-149","https://www.goa.gov.in/what_to_see/beaches/","Mobor Beach","Mobor Beach is one of the pristine beaches in South Goa that attracts hordes of tourists every year from all over the country.","Learn More","https://www.goa.gov.in/places/mobor-beach/"
"1682543138-150","https://www.goa.gov.in/what_to_see/beaches/","Morjim Beach","The VIPs on this beach are the Olive Ridley turtles that come to nest here helped by a group of volunteers who guard the nests and help the hatchlings get into the sea.","Learn More","https://www.goa.gov.in/places/morjim/"
"1682543138-151","https://www.goa.gov.in/what_to_see/beaches/","Palolem Beach","It’s a beach of white sand facing a blue bay between two headlands","Learn More","https://www.goa.gov.in/places/palolem-beach/"
"1682543138-152","https://www.goa.gov.in/what_to_see/beaches/","Patnem Beach","The Patnem Beach is one of the quietest and most secluded beaches of South Goa.","Learn More","https://www.goa.gov.in/places/patnem-beach/"
"1682543138-153","https://www.goa.gov.in/what_to_see/beaches/","Sinquerim Beach","With a magnificent 17th century fort which has now been converted into a prison","Learn More","https://www.goa.gov.in/places/sinquerim-beach/"
"1682543138-154","https://www.goa.gov.in/what_to_see/beaches/","Vagator Beach","This beautiful beach is located about 22 Kms from Panaji and is situated in Bardez taluka","Learn More","https://www.goa.gov.in/places/vagator-beach/"
"1682543138-155","https://www.goa.gov.in/what_to_see/beaches/","Varca Beach","Varca is a 12 km stretch of marvelous white sandy beaches in South Goa","Learn More","https://www.goa.gov.in/places/varca-beach/"
