temple_name,temple_image,temple_location,temple_description
Bhagwati Devi Temple (Pernem),https://goa-tourism.com/wp-content/uploads/2020/04/bhagvati-devi-temple.jpg,https://goo.gl/maps/Tu85jcddhFo6bM9k6,"The temple of Sri Bhagwati is quite unique and is dedicated to Goddess Bhagwati who is an incarnation of Goddess Parvati, the consort of Lord Shiva. The Shri Bhagwati temple is an ancient temple in Goa. It is said to be more than 500 years old and is situated by the side of the main road.The Portuguese rule was quite disadvantageous for the existing temples in Goa as they had to face destruction and devastation at the hands of the foreign rulers. Very few temples survived the wrath of the invaders. Shri Bhagwati Temple is one of the few temples that were allowed to stand."
Shri Navdurga Saunsthan,https://goa-tourism.com/wp-content/uploads/2021/09/temple-navdurga.jpg,https://goo.gl/maps/nfyha4K6Y6RzWxLx5,"Shri Navdurga Saunsthan in Goa is situated at Borim which is about 34 kms. from Panaji and 12 kms. from Margao. The temple is among the famous religious places in Goa and houses an incarnation of Goddess Parvati, the consort of Shiva known as Goddess Navdurga.The temple is dedicated to goddess Navdurga, the temple is believed to be more than 500yrs old and was renovated in the year 1603."
Shri Sapteshwar Bhagavati Temple,https://goa-tourism.com/wp-content/uploads/2021/10/sapteshwar-bhagvati-temple-goa.jpg,https://goo.gl/maps/M34SCDGUhYDZzSfK9,"Not far from Morjim are located two temples -the Shri Bhagavati temple at Parshem and Sapteshwar Bhagamati at Mandrem in Pernem Taluka. The Shri Bhagavati Temple at Parshem is situated at a distance of 7 kms from Pernem in Pernem Taluka.The Shri Bhagavati temple complex has five temples, the main temple being that of Devi Bhagavati. The other temples in the complex are those of Shri Sateri, Shri Dev Ravalnath, Shri Dev Bhivangi Panchakshari & Brahma (Shri Vishnu, Shri Ganapath, Shri Shankar). The unique feature of the Shri Bhagavati temple is that it has two ‘Deepstambhas’."
Shri Datta Mandir,https://goa-tourism.com/wp-content/uploads/2021/09/12190536ShriDattatreya_Temple_Sanquelim_Main-e1663930846867.jpg,https://goo.gl/maps/GxF1tbjK5ZU2pYTa8,"Datta Mandir is located at Sanquelim in the Bicholim Taluka of North Goa.It is known as the hometown of the Ranes of Sattari who played a key role in Goa’s freedom struggle. Sanquelim is very famous for some of its Hindu temples.There are also a number of places to visit around Sanquelim which include the Arvalem waterfalls which are just 2 kms from Sanquelim. Also one can find the Arvalem Caves nearby.The deity of the Datta Mandir, the Hindu Trinity of Brahma, Vishnu and Maheshwar, is said to have cured many people who were of unsound mind.The most important festival, which is attended by devotees from all over Goa, is Datta Jayanti which falls in the month of December."
Shri Saptakoteshwar Temple,https://goa-tourism.com/wp-content/uploads/2021/09/WhatsApp-Image-2023-01-07-at-5.45.34-PM-1.png,https://goo.gl/maps/N7qXAis4MMYsSeVi9,"This is also an ancient temple, Saptakoteshwar having been the deity of the Kings of the Kadamba dynasty around the twelfth century. Coins found from this era mention the name of the deity along with that of the King Jayakeshi.After the Portuguese conquest, in the year 1540 during the years of the Inquisition, once again the linga at the temple was removed. Soon afterwards, it was smuggled away by one of the locals named Narayan Shenvi Suryarao and taken to a place called Latambarsem where it remained for 3 years. In 1543, it was installed in a temple near the island of Divar."
Shri Rudreshwar Temple,https://goa-tourism.com/wp-content/uploads/2021/09/temple-rudreshwar-mandir.jpg,https://goo.gl/maps/jtFazknjBmS7idgt7,"The temple of Rudreshwar is located in the Bicholim Taluka at a distance of 45 kms from Panaji. Shri Rudreshwar Temple is newly built on the site of an ancient site and is also known as the temple of Lord Shiva, where devotees go to seek blessings for themselves and their ancestors.The beautiful Arvalem waterfalls is located just next to the temple. The image of Lord Rudreshwar lies facing the waterfall.Early in the morning, devotees flock to the temple to pay their obeisance to the deity. The temple is accessed by stairs that start near the mouth of the waterfall.The festival of Mahashivaratri draws big crowds amongst the locals. However, the temple assumes importance as Hindus perform rites for the dead here."
Shri Ramnath Temple (Ramnathi),https://goa-tourism.com/wp-content/uploads/2021/09/temple-ramnath-mandir.jpg,https://goo.gl/maps/Ash6GvDA8mTwHhpk6,"The idol of Lord Ramnath was initially housed in a temple at a settlement called Lotli (present-day Loutolim) which was set up by Gaud Saraswat Brahmins who had migrated from Rameshwar on the southern shores of India.Lord Ramnath, like many other deities in Goa, was removed from the original temple at Loutolim and smuggled away to its present day abode of Bandivade, to avoid persecution by the Portuguese regime. Bandivade was under the control of Bijapur at the time.The temple also houses other deities viz. Shri LaxmiNarayan, Shri Kamakshi, Shri Santeri and Shri Sidhanath. Unlike most temples in Goa, the sabhamandap (grand hall) of the temple has no pillars and yet has a special gallery for the ladies. There is a five-storied deepstambha (lamp tower) in the courtyard with images of Hindu saints carved on its base."
Shri Gopal Ganapati Temple (Farmagudi),https://goa-tourism.com/wp-content/uploads/2021/09/shree-gopal-ganpati-temple.jpg,https://goo.gl/maps/V2GyjhrAfPbt5B4YA,"About 90-100 years back, a cow herder called Hapo, who was employed by King Soundhekar of Bandiwade, found a 1 foot stone Ganesha idol in the forest. He consecrated it in a mandapa made of coconut branches.Even today, a Gudi is erected here every Anant Chaturthi.The first chief Minister of Goa, the late Shri. Dayanand Bandodkar, was inspired to build a new temple here. He had the Idol, which was made of metal alloy, consecrated on April 24, 1966.It is a good specimen of Indian Temple architecture, synthetizing both the ancient and modern forms."
Shri Chandranath Temple,https://goa-tourism.com/wp-content/uploads/2021/09/shree-chandranath.jpg,https://goo.gl/maps/ggTVx6C7PcDKqGgA9,"Shri Chandranath is located on the top of a 350m high hill of Chandranath, Paroda in Quepem. The main Deity is Lord Chandreshwar.Lord Chandreshwar was the titular deity of the Bhoja kings who ruled South Goa before the coming of the Portuguese, till the middle of 8th century. They had named their capital Chandrapur after the deity.The temple has the famous Shiva Linga, which was supposed to ooze water with the touch of moonlight. Some sources say that the temple has been designed in such a way, that moonlight falls directly on the Shiva Linga on full moon nights."
Shanta Durga Temple,https://goa-tourism.com/wp-content/uploads/2021/09/shree-shantadurga-temple.jpg,https://goo.gl/maps/zqrW4bu9m4fgTLfaA,"Shri Shantadurga Temple is situated at the foothill of Kavalem village in Ponda Taluka, Goa. A small laterite mud shrine was built and the deity was installed here. The mud-shrine was converted into a beautiful temple whose foundation stone was laid in 1730 and the temple was completed in 1738 and renovated in 1966.The temple is dedicated to Shantadurga, the goddess who mediates between Vishnu and Shiva. The deity is also called ‘Santeri’ colloquially. Local legends tell of a battle between Shiva and Vishnu. The battle was so fierce that the god Brahma prayed to Goddess Parvati to intervene, which she did in the form of Shantadurga. Shantadurga placed Vishnu on her right hand and Shiva on her left hand and settled the fight."
