Name,Location,Address,Establishment Type,Restaurants Features,Meals,Prices ,Cuisine,Meal Type,Good_for,Reviews,Timings,Website_url,Must_try_items,Phone,Description
Tamarind Café,,"Location: Varchawadda, Arambol, North Goa
",,,,400,,,,,08:00 am to 11:00 pm; every day,,"Healthy Options Salads, Chinese, Thai",,"Tamarind Café | Among the Best Restaurants North in Goa. We thought we would start off with the healthier quick-bites option. Tucked away in Arambol is this food paradise which serves delicious quick eats for the snacking buffs. Set in a garden under a 200-year old banyan tree is this beautiful and cozy café. The most inspirational dishes are dished out here by the Japanese chef who makes you indulge in some great food made from the local produce and the freshest of ingredients. The macrobiotic meal options for breakfast, lunch, and dinner include delish soups, salads, and mains made with generous quantities of imported olive oil, ghee, and veggies.

"
La Plage,,"Aswem Beach, Arambol, North Goa",,,,800,,,,,8:30 am to 10.00 pm; every day,,"Burgers, Sea Food, Chocolate Thali, Cocktails, Chicken Burger, Salad, Beef Carpaccio",,"Let us warn you at the outset, nine out of ten people are reported to have fallen in love with this place at the very first sight. French, Italian, and contemporary American grub is served in the most desirable ways here. The most eclectic ambiance accented by colored wooden furniture with the backdrop of the pristine Aswem Beach and the most appetizing delights are bound to keep you coming back for more. This casual dining place keeps changing the menu while keeping some staples unchanged. You get one of the best Bee Burgers in town in La Plage and you can expect some spectacular seafood to be served at your table as well. Décor, location, service or food quality, the place scores high on all these counts and many more. No wonder, this restaurant tops the list of North Goa’s must-try restaurants."
Bhatti Village,,"Bhatti Waddo, Nerul, North Goa",,,,500,,,,,06:30 pm to 11:00 pm; every day,,"Pork vindaloo, roast pork, seafood, dried prawn curry",,"Fancy something authentically Goan and homemade, something that you would remember for the rest of your life? Head to Bhatti Village, a family-owned restaurant tucked away in the narrow lanes of Nerul. Remember, the place doesn’t have a fixed menu, but serves you different dishes in different seasons. One of the signature dishes served in this quaint restaurant is a fish roe, locally called gaboi. That’s not all. From pork vindaloo and Goan fish curry and rice to sannas, reichado, and desserts right from the heart of Goa, Bhatti Village serves it all. The place also serves alcohol, so if you are looking for a relaxed, casual dining experience with your dear ones, you know where to go.  "
Thalassa,,"Ozran Beach, Vagator, North Goa",,,,2000,,,,,10:00 am to 12:00 am; every day,,"Cocktails, Vegetable Moussaka, Baklava, Chocolate Cake, Grilled Squid, Lamb Chops, Gyros",,"This restaurant is truly a mini Greece in Goa. Run by a Greek expert from Corfu, the place outshines most fusion restaurants in Goa by several notches. And the reasons? Fantastic food, warm hospitality, and the most chilled out yet romantic ambience which makes you wonder if you were magically transported to Greece! The serenity of the high deck view of the Arabian Sea, breath-taking sunsets, and the mind-blowing atmosphere with straw chairs and blue and white décor simply recreate the Mediterranean charm. Grab some chilled beer and the famous platters from across Greece and spend a memorable evening here. This place has been featured in the Most Legendary Outlets List and Planet Goa Foodies’ Select for being the most sought-after eatery in the whole of Goa. Do not miss out on the Saganakis, Horiatiki, Spinach Mini Pies, Stuffed Sardines, and many more such real Greek divinity."
Spice Goa,,"Satt-Adhar Complex, Mapusa, North Goa",,,,900,,,,,12:00 pm to 03:00 pm and 07:30 pm to 11:00 pm; every day,,"Sea Food, Rice, Beer, Prawn Curry, Goan Thali, Dal Tadka, Fish Curry",,"What is the point of your visit to Goa if you do not indulge in some local fare? Spice Goa is where the tantalizing thalis enriched with the local flavors give you a home-style welcoming and tickle your taste buds. These wholesome thalis offer comfort and nourishment to the wandering souls. The freshest catch of the day and the freshly grounded masala made in-house contribute to the scrumptious meals at Spice Goa. Everything from lobsters, crabs, prawns, kingfish, pomfret, mackerels, squids, clams, and oysters to sharks, cod, and mullets are served here. Whether you fancy rawa-fried fish, liver sukha, mutton chaps, or chicken cafreal, you will find them all in this one-of-its-kind restaurant."
Burger Factory,,"Anjuna Main Road, Anjuna, North Goa",,,,1100,,,,,11:30 am to 03:30 pm and 06:30 pm to 10:30 pm; every day (Closed on Wednesday),,"Gourmet Chicken Burger, Spinach Burger, Wedges, Mushroom Burger, Fries, Chicken Parmesan Burger",,"Want to give coastal cuisines a rest and try some finger-licking good fast food? Burger Factory is your best bet, mate! This exquisite burger place is touted for the juiciest burgers in town. The casual dining ambiance in light wood with an open kitchen is close to homecoming for those who are longing to binge on some comfort food. The well-stacked and finely prepared burgers with the delightful sides and exotic toppings make this place champion of the Burger league in North Goa. Serving up the most piquant gourmet burgers (chicken, vegetarian, and beef), Burger Factory should definitely be your food stop after a long day at Anjuna Beach."
Brittos Bar,,"Bardez, Baga, North Goa",,,,1400,,,,,08:30 am to 12:00 am; every day,,"Prawn Vindaloo, Seafood Platter, Grilled Lobster, Sorpotel, Prawn Balchao, Jumbo Prawns, Mocktails ",,"You can never miss this iconic shack-turned-eatery at the prominent Baga Beach. With its picket fences and rustic ambiance, Brittos has been the most preferred chill-out zone in the region. The seafood platters served here with chilled beer will mesmerize your senses, to say the least. The steaks and noodles are also among the top favorites of the customers. With almost 50 years of serving the foodies who visit Baga, Brittos Bar and Restaurant has become the landmark eatery of this zone. The Goan delights and the meaty dishes are spot on while you shouldn’t forget to wash down all that food with some home brewed Feni. If you do not mind spending some extra bucks on the grilled lobster, we assure you it will be worth the experience and the money!"
Pousada by the Beach,,"Gaura Vaddo, Calangute Beach, North Goa",,,,3000,,,,,11:00 am to 07:00 pm; every day,,"Tangy Vindaloo, Prawn Xacuti, Lavazza Espresso, Cocktails, Peri Peri Prawns, Mocktails",,"The skillful adaptation of Portuguese cuisine into the local food arena is evident at Pousada by the Beach, one of the best beach shack restaurants in North Goa. This casual dining venue with great ambience and amazing views of the sea serves classic dishes from the Portuguese, Continental, Goan, and Konkan cuisines. What’s more, this beachside eatery ticks all the right boxes of flavor, presentation, originality, and ambiance; personalized service and lip-smacking delicacies are also guaranteed when you choose to dine here. Start with a glass of wine or a bottle of beer and then move to some of the signature dishes such as stuffed crab, sungtanche kodi, fish in banana leaf, feijoada, among others. Finally, top it with a classic Goan dessert like bebinca, dodol or serradurra. Soak in the sun and sit back to enjoy the peaceful atmosphere for hours with no interruptions and gorge on some divine food at this heavenly eatery."
Zeebop by the Sea,,"Utorda Beach, Majorda, South Goa",,,,800,,,,,11:00 AM to 11:00 PM; every day,,"Chicken Sandwich, Sea Food, Butter Garlic Squids, Paneer Tikka, Pinacolada, Kulfi, Pineapple Juice",,"This resto-bar has been stylishly designed to give its customers an upbeat dining experience by the sea. Surrounded by tall palm trees and a breezy atmosphere, the restaurant is renowned for its sumptuous seafood and great party hosting skills, and did we mention cocktails too? Zeebop has been witness to many weddings and celebrations in the past and it has an outdoor seating area as well. Pre-booking is recommended before you visit this place. Décor, location, live music, and mind-blowing dishes come together to make this place a must-visit for anyone looking for the real Goan vibe down the South."
Martin’s Corner,,"Ranvaddo, Salcete, Betalbatim, South Goa",,,,1600,,,,,11:00 am to 04:00 pm and 06:30 pm to 11:30 pm; every day,,"Mocktails, Steak, Sea Food, Paneer Tikka, Cocktails, Dutch Truffle, Fish, Roti",,"The classy interiors at Martin’s Corner are welcoming and cozy for a multi-cuisine dining extravaganza. The bar scene at the venue is pretty happening with the best of concoctions being served in-house. The live music and the delectable offerings from the local, Chinese, and North Indian cuisines at this food joint are nothing less than spectacular to make your Goan adventure complete. The stone-cooked steaks served here are top-notch, making this a definite stopover for sensory gratification. Pork chilli fry, Calamari masala, king prawn butter garlic, mousses, cheesecakes, and the list goes on and on. Choose your favorites and indulge, as if there is no tomorrow!"
